,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19,s_X20,s_X21,s_X22,s_X23,s_X24
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X13_GET_req],2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,REST_X13,3,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,REST_X13,4,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
5,[X13_X6_GET_req],5,11,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
6,REST_X6,6,11,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
7,REST_X6,7,11,0,0,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
8,[X6_X24_GET_req],8,11,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1
9,REST_X24,9,11,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2
10,REST_X24,10,11,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5
11,[X24_X9_GET_req],11,11,0,0,0,0,0,6,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6
12,REST_X9,12,11,0,0,0,0,0,6,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6
13,REST_X9,13,11,0,0,0,0,0,6,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6
14,[X24_X9_GET_resp_2xx],14,11,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3
15,[X6_X24_GET_resp_2xx],15,11,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
16,[X13_X6_GET_resp_2xx],16,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
17,[X0_X13_GET_resp_2xx],17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,REST_X0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,[X0_X13_GET_req],19,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,REST_X13,20,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
21,REST_X13,21,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
22,[X13_X14_GET_req],22,11,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
23,REST_X14,23,11,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0
24,REST_X14,24,11,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0
25,[X14_X18_GET_req],25,11,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,1,0,0,0,0,0,0
26,REST_X18,26,11,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,2,0,0,0,0,0,0
27,REST_X18,27,11,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,11,0,0,0,0,0,0
28,[X18_X15_GET_req],28,11,0,0,0,0,0,0,0,0,0,0,0,0,10,6,1,0,0,12,0,0,0,0,0,0
29,REST_X15,29,11,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,0,0,12,0,0,0,0,0,0
30,REST_X15,30,11,0,0,0,0,0,0,0,0,0,0,0,0,10,6,5,0,0,12,0,0,0,0,0,0
31,[X15_X10_GET_req],31,11,0,0,0,0,0,0,0,0,0,1,0,0,10,6,6,0,0,12,0,0,0,0,0,0
32,REST_X10,32,11,0,0,0,0,0,0,0,0,0,2,0,0,10,6,6,0,0,12,0,0,0,0,0,0
33,REST_X10,33,11,0,0,0,0,0,0,0,0,0,11,0,0,10,6,6,0,0,12,0,0,0,0,0,0
34,[X10_X4_GET_req],34,11,0,0,0,1,0,0,0,0,0,12,0,0,10,6,6,0,0,12,0,0,0,0,0,0
35,REST_X4,35,11,0,0,0,2,0,0,0,0,0,12,0,0,10,6,6,0,0,12,0,0,0,0,0,0
36,REST_X4,36,11,0,0,0,11,0,0,0,0,0,12,0,0,10,6,6,0,0,12,0,0,0,0,0,0
37,[X4_X3_GET_req],37,11,0,0,1,12,0,0,0,0,0,12,0,0,10,6,6,0,0,12,0,0,0,0,0,0
38,REST_X3,38,11,0,0,2,12,0,0,0,0,0,12,0,0,10,6,6,0,0,12,0,0,0,0,0,0
39,REST_X3,39,11,0,0,5,12,0,0,0,0,0,12,0,0,10,6,6,0,0,12,0,0,0,0,0,0
40,[X3_X17_GET_req],40,11,0,0,6,12,0,0,0,0,0,12,0,0,10,6,6,0,1,12,0,0,0,0,0,0
41,REST_X17,41,11,0,0,6,12,0,0,0,0,0,12,0,0,10,6,6,0,2,12,0,0,0,0,0,0
42,REST_X17,42,11,0,0,6,12,0,0,0,0,0,12,0,0,10,6,6,0,3,12,0,0,0,0,0,0
43,[X3_X17_GET_resp_2xx],43,11,0,0,3,12,0,0,0,0,0,12,0,0,10,6,6,0,0,12,0,0,0,0,0,0
44,[X4_X3_GET_resp_2xx],44,11,0,0,0,3,0,0,0,0,0,12,0,0,10,6,6,0,0,12,0,0,0,0,0,0
45,[X10_X4_GET_resp_2xx],45,11,0,0,0,0,0,0,0,0,0,3,0,0,10,6,6,0,0,12,0,0,0,0,0,0
46,[X15_X10_GET_resp_2xx],46,11,0,0,0,0,0,0,0,0,0,0,0,0,10,6,3,0,0,12,0,0,0,0,0,0
47,[X18_X15_GET_resp_2xx],47,11,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,3,0,0,0,0,0,0
48,[X14_X18_GET_resp_2xx],48,11,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0
49,[X13_X14_GET_resp_2xx],49,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
50,[X0_X13_GET_resp_2xx],50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,REST_X0,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
